scenario,scenario_type,trial_id,planner,success,collision,steps,path_length,planning_cpu_time,colregs_violations,colregs_corrections,colregs_encounters,num_obstacles
USA_NYM-1_20190613_T-1,open,0,APF_COLREGs,True,False,145,19.408814702802342,0.0041811466217041016,21,7,7,4
USA_NYM-1_20190613_T-1,open,1,APF_COLREGs,True,False,145,19.408814702802342,0.0042629241943359375,21,7,7,4
USA_NYM-1_20190613_T-1,open,2,APF_COLREGs,True,False,145,19.408814702802342,0.00412297248840332,21,7,7,4
USA_NYM-1_20190613_T-1,open,3,APF_COLREGs,True,False,145,19.408814702802342,0.0044214725494384766,21,7,7,4
USA_NYM-1_20190613_T-1,open,4,APF_COLREGs,True,False,145,19.408814702802342,0.003950357437133789,21,7,7,4
USA_NYM-1_20190613_T-1,open,5,APF_COLREGs,True,False,145,19.408814702802342,0.004110813140869141,21,7,7,4
USA_NYM-1_20190613_T-1,open,6,APF_COLREGs,True,False,145,19.408814702802342,0.004129886627197266,21,7,7,4
USA_NYM-1_20190613_T-1,open,7,APF_COLREGs,True,False,145,19.408814702802342,0.0043065547943115234,21,7,7,4
USA_NYM-1_20190613_T-1,open,8,APF_COLREGs,True,False,145,19.408814702802342,0.0040585994720458984,21,7,7,4
USA_NYM-1_20190613_T-1,open,9,APF_COLREGs,True,False,145,19.408814702802342,0.0038840770721435547,21,7,7,4
