scenario,difficulty,mode,trials,success_rate,collision_rate,avg_path_length,avg_steps,num_obstacles
channel,easy,Offline_AEGAfi,3,1.0,0.0,11.504000000000003,87.0,40
channel,easy,Online_APF,3,1.0,0.0,11.401500000000004,92.0,40
channel,extreme,Offline_AEGAfi,6,0.0,1.0,0.0,16.0,49
channel,extreme,Online_APF,6,0.0,1.0,0.0,21.0,49
channel,hard,Offline_AEGAfi,8,0.625,0.375,11.527599999999998,61.25,40
channel,hard,Online_APF,8,1.0,0.0,11.430357549179693,92.0,40
channel,medium,Offline_AEGAfi,3,1.0,0.0,11.520000000000001,87.0,40
channel,medium,Online_APF,3,1.0,0.0,11.401500000000004,92.0,40
clutter,easy,Offline_AEGAfi,3,1.0,0.0,12.269999999999998,92.0,12
clutter,easy,Online_APF,3,1.0,0.0,11.660599470112636,98.0,12
clutter,extreme,Offline_AEGAfi,3,0.0,1.0,0.0,59.0,50
clutter,extreme,Online_APF,3,0.0,1.0,0.0,17.0,50
clutter,hard,Offline_AEGAfi,5,0.0,1.0,0.0,59.0,35
clutter,hard,Online_APF,5,0.0,1.0,0.0,31.0,35
clutter,medium,Offline_AEGAfi,8,0.0,1.0,0.0,70.0,25
clutter,medium,Online_APF,8,0.0,1.0,0.0,76.0,25
dynamic,easy,Offline_AEGAfi,3,1.0,0.0,11.519999999999996,87.0,2
dynamic,easy,Online_APF,3,1.0,0.0,11.403919667218256,92.0,2
dynamic,extreme,Offline_AEGAfi,5,0.0,1.0,0.0,24.0,8
dynamic,extreme,Online_APF,5,0.0,1.0,0.0,18.0,8
dynamic,hard,Offline_AEGAfi,8,0.75,0.25,12.22466666666667,93.25,6
dynamic,hard,Online_APF,8,0.0,1.0,0.0,47.0,6
dynamic,medium,Offline_AEGAfi,5,1.0,0.0,11.52,87.0,4
dynamic,medium,Online_APF,5,1.0,0.0,11.42104605467679,92.0,4
maze,easy,Offline_AEGAfi,3,1.0,0.0,11.520000000000001,87.0,15
maze,easy,Online_APF,3,1.0,0.0,11.445030842261703,92.0,15
maze,extreme,Offline_AEGAfi,3,0.0,1.0,0.0,21.0,39
maze,extreme,Online_APF,3,0.0,1.0,0.0,31.0,39
maze,hard,Offline_AEGAfi,5,0.2,0.8,13.920000000000016,94.0,30
maze,hard,Online_APF,5,0.0,1.0,0.0,34.0,30
maze,medium,Offline_AEGAfi,8,0.75,0.25,13.093666666666673,83.0,21
maze,medium,Online_APF,8,0.0,1.0,0.0,37.0,21
open,easy,Offline_AEGAfi,3,1.0,0.0,11.507333333333333,87.33333333333333,2
open,easy,Online_APF,3,1.0,0.0,11.453288208813825,92.0,2
open,extreme,Offline_AEGAfi,5,0.0,1.0,0.0,19.2,9
open,extreme,Online_APF,5,0.0,1.0,0.0,30.0,9
open,hard,Offline_AEGAfi,10,0.6,0.4,13.126333333333337,109.5,6
open,hard,Online_APF,10,0.0,1.0,0.0,53.0,6
open,medium,Offline_AEGAfi,5,1.0,0.0,12.665200000000008,94.8,4
open,medium,Online_APF,5,1.0,0.0,11.568880984785746,95.0,4
